Sample,TAP1,PSMB10,IFNGR2,STAT1,WAS,CYBA,NCF1,IL7R,NFKBIA,STAT2,TNFSF13B,SLC7A7,STK4,IFNGR1,IRF9,MAGT1,DOCK2,IKZF1,NFKB1,DOCK8
GSM1244876,4376.522,5320.644,6330.001,3075.104,4621.062,6267.576,3227.708,5945.782,3598.028,2630.172,2981.6645,3689.244,3542.719,3191.708,2686.486,2744.794,3333.448,1167.124,3721.175,1609.047
GSM1244877,4417.308,4723.73,6111.073,2365.048,4970.282,5517.806,3207.559,3128.836,2726.94,2694.061,2860.4825,3037.241,4118.337,3349.189,2255.356,2150.883,3568.006,1493.718,3659.407,1909.329
GSM1244878,5754.069,4737.548,7818.018,2849.526,5819.325,5737.055,3527.341,4312.9645,2718.718,2578.1,3168.817,4025.435,4395.887,4210.276,2954.42,2216.385,3677.26,1013.204,3212.622,2380.223
GSM1244879,4622.114,5502.714,4578.165,3190.674,3998.723,6100.329,3099.279,5365.6615,3943.785,2402.105,2069.323,4146.475,3529.356,3080.643,2250.202,2123.597,3446.197,1663.249,3104.213,1615.355
GSM1244880,5127.623,5433.624,5284.472,3334.009,4459.125,6123.517,3120.636,3869.724,2768.8,3480.011,2572.2725,3549.084,3576.451,3065.962,3079.39,2451.762,3159.829,1433.458,3362.959,1589.421
GSM1244881,4910.609,5501.494,5523.77,4088.693,4791.772,5677.98,6086.714,3618.396,4056.717,3056.712,2426.5675,3946.49,4228.717,3911.502,3109.361,2705.116,2876.719,3052.044,3633.525,2435.82
GSM1244882,4938.176,6060.54,6090.805,2650.315,5114.398,3748.155,2058.919,3344.8425,3355.639,3107.478,2248.9805,3027.125,3902.094,3670.446,2328.784,2346.439,3398.613,1474.711,3142.287,2331.901
GSM1244883,4926.127,5829.761,5010.343,2326.704,4447.356,5795.967,2449.228,6160.7375,2778.051,2764.222,2624.399,2482.923,3896.127,3045.411,2147.323,2210.974,2729.602,3573.788,3587.212,1948.815
GSM1244884,3439.759,6586.907,5161.134,2876.098,5606.776,7142.052,2769.97,3219.878,3627.162,2548.746,1805.9255,2136.338,4578.467,3637.907,2666.472,2377.754,3297.483,1273.609,2689.347,1661.173
GSM1244885,3383.518,4802.795,7430.228,2201.911,6529.549,6466.608,4198.144,4307.057,3480.304,2397.804,2151.814,2671.346,4909.489,4673.447,3041.269,2177.75,2926.09,1673.277,2996.103,1945.581
GSM1244886,4097.646,5525.877,6933.389,2912.384,7266.219,7547.611,4468.301,3039.1575,3412.983,3781.984,3837.2685,1486.568,4766.96,3520.566,4192.169,2080.427,3233.848,905.0524,2841.648,1750.061
GSM1244887,3390.807,6407.662,4419.771,2422.758,5696.005,6925.643,3243.82,4421.0025,4076.74,2585.065,2382.7365,3035.27,4535.851,3941.341,2480.153,1639.925,3296.222,661.031,2989.018,1934.301
GSM1244888,4613.552,6084.192,7137.333,2432.012,7124.558,7725.078,4861.223,2710.8155,4180.317,2752.942,2478.6925,1810.09,4213.789,4692.922,2972.743,2329.526,3405.717,1145.54,2557.581,1615.933
GSM1244889,4206.705,5423.586,5148.537,2952.089,6143.792,6048.35,3057.983,4919.8565,3760.74,2564.406,2109.396,2126.271,4469.146,3523.059,2879.498,1848.209,3578.802,1911.536,3347.136,1629.131
GSM1244890,3945.069,6340.898,5424.904,2222.903,6147.717,6251.89,2575.204,4684.098,3597.177,2599.71,1381.65,2482.866,4453.938,3477.659,2623.912,1914.199,3647.753,868.5195,3078.496,1334.898
GSM1244891,3743.846,4093.602,4846.974,2940.53,5852.864,6819.91,3428.964,5160.804,3557.942,2421.122,1983.131,1489.311,4249.072,3387.381,3166.255,1831.741,3120.236,1271.888,2975.396,1595.755
GSM1244892,4643.652,6052.782,5747.843,3300.709,6334.697,7724.984,4310.677,3412.786,3625.605,3202.153,2837.8795,2606.871,4838.618,3764.133,3459.858,2008.702,3181.504,2091.85,2636.386,2122.209
GSM1244893,3645.036,6232.352,5636.016,2928.126,6007.496,8247.952,2981.136,3840.259,3425.519,3209.034,3085.054,3074.282,4451.263,3597.421,3153.848,2686.973,3131.477,1961.847,3043.995,2717.547
GSM1244894,2999.371,5833.44,4046.338,2386.654,4637.429,7453.912,2134.421,3990.858,2720.843,2046.678,1747.488,1704.384,4388.006,2482.071,2679.958,2326.748,2147.999,1142.144,2583.876,1902.337
GSM1244895,3279.884,5627.303,5740.058,2251.305,6427.261,6927.375,2486.565,3000.1555,2834.223,2926.782,1556.0975,1789.771,4327.714,3208.701,2726.373,2765.811,3164.796,727.9332,2470.452,1296.375
GSM1244896,3233.018,5846.258,6467.377,1775.832,6077.977,6054.696,3054.081,4770.4475,4530.852,2238.229,1985.3195,2462.411,4371.197,4000.317,2311.269,2322.22,3331.273,2515.207,2537.939,1741.968
GSM1244897,3136.861,5528.314,6363.097,1840.953,6015.514,7591.242,4566.405,3414.077,3504.047,1803.44,1711.38,1882.415,4983.008,3584.537,2507.576,2574.357,3028.698,800.228,2498.221,1704.102
GSM1244898,3310.103,6932.092,3665.783,2334.35,4766.89,5530.754,2168.083,3590.98,3119.98,3074.695,1829.4615,3024.671,3924.802,3016.615,2311.587,1560.698,4074.069,1473.536,2550.408,1154.202
GSM1244899,3887.032,5570.349,9509.725,2369.531,7240.955,7469.891,5285.144,2185.346,5592.354,2389.1,3445.5365,2313.3,4535.207,4880.759,3530.895,2904.642,3316.121,1042.365,2902.348,1627.127
GSM1244900,3413.573,4100.459,5103.96,2117.238,4311.571,4396.047,4529.78,5559.281,4238.451,1861.89,2442.727,2084.725,3225.282,2900.457,1936.312,3162.994,2788.702,2039.422,2804.104,1462.997
GSM1244901,6331,5219.104,8696.962,3051.469,5501.24,5067.614,3821.991,4101.486,4185.893,3004.543,4312.7015,2710.37,4659.889,4942.578,3472.845,3376.787,3380.32,1603.149,3288.294,2360.773
GSM1244902,9403.924,7529.666,7796.236,6784.129,6462.916,406.8608,181.786,2145.536,4877.651,5946.631,3880.062,3572.168,5742.292,5207.515,3214.123,3861.982,4825.914,2221.585,3747.391,2760.431
GSM1244903,3865.834,2961.97,5537.013,2402.668,3897.519,5922.638,4351.749,5008.6475,3463.185,2553.044,1894.8995,3221.602,3294.202,3396.896,1903.13,3238.68,3034.804,2319.96,2841.308,1520.075
GSM1244904,4593.275,5001.725,4638.855,3192.705,3806.056,5283.85,2981.429,3335.2905,2724.956,2958.644,1874.0985,2257.77,4249.604,3273.719,2398.345,2921.89,2741.425,1944.582,2808.159,1363.991
GSM1244905,5636.795,5703.092,5126.678,3523.665,3930.538,5374.558,2864.707,5090.451,3882.638,2891.583,3019.797,2336.063,4083.555,3373.603,2707.638,3003.202,2842.487,1786.467,3281.088,1469.71
GSM1244906,4571.973,4838.789,7241.328,2788.704,5026.964,6110.08,4966.568,3832.667,3500.805,2430.188,2764.0455,3248.026,4219.885,4702.073,2566.979,2641.006,3139.727,1430.97,2894.064,2134.852
GSM1244907,6356.564,6275.353,5434.392,4876.873,4750.272,6261.038,4761.76,3813.532,3833.555,3821.999,3140.2625,2761.489,4050.695,3437.183,3189.374,3481.828,2975.897,1419.568,3128.763,2089.106
GSM1244908,4749.794,4781.463,5469.55,4209.014,4453.104,6358.404,4897.339,5424.8195,3552.205,3663.172,3851.639,3708.928,3527.387,3125.937,3012.631,2832.996,2701.984,2058.445,3308.001,1876.069
GSM1244909,4470.665,4488.561,7016.579,3141.296,4977.894,7135.212,4549.807,1901.0625,3579.699,2435.202,4850.2175,2112.908,4102.771,5194.207,3495.396,2738.662,3216.073,1439.961,3195.72,2494.493
GSM1244910,4842.898,5514.857,4002.783,4368.794,3613.925,4761.711,2950.796,6136.316,3878.218,2646.922,3411.151,2442.351,3548.803,2710.547,2561.339,2345.671,2710.478,2528.316,3057.504,1484.815
GSM1244911,5578.398,4991.811,4923.729,3214.565,4465.044,4711.176,3477.19,5109.9045,3662.826,3036.591,2310.063,2104.091,3644.293,3143.494,2876.588,3100.175,2721.216,2646.735,2850.746,1757.08
GSM1244912,4887.526,4983.142,4947.823,3609.218,4313.48,5015.514,3070.726,5149.354,3026.198,2516.634,2442.449,2049.981,4219.644,2789.859,2975.764,2379.156,3062.631,2843.385,2926.218,2047.62
GSM1244913,3595.722,4187.267,5476.216,1898.609,3832.818,4946.38,3747.48,4095.213,3785.575,2202.562,2367.9925,2768.433,3115.978,3844.846,1987.742,3934.1,2769.114,1580.965,3274.187,2027.535
GSM1244914,4416.746,4651.217,5395.231,3170.776,4169.821,5343.182,4244.168,3002.657,4066.447,2640.278,2815.7205,3289.85,3616.182,4481.027,2247.166,2979.608,2652.653,2164.651,2869.065,2167.505
GSM1244915,3245.346,6584.109,6157.732,2260.824,5881.839,5225.313,4585.184,3879.089,5167.102,2454.373,2326.1015,2526.988,3722.203,3962.274,2923.598,2519.14,3147.101,791.5258,3226.466,1324.596
GSM1244916,6639.365,8505.22,4834.933,3573.059,6207.578,5613.262,4418.379,2066.18,4716.889,3847.144,2937.728,2643.541,3863.9,3489.627,3738.558,3064.649,2807.24,1626.158,2693.089,1326.326
GSM1244917,5279.766,6215.676,6233.2,3737.876,4654.189,5642.919,5148.044,3919.0855,4616.688,3384.679,3254.016,2100.072,3514.304,3790.403,2473.911,3501.672,2661.022,984.7794,2778.761,1335.95
GSM1244918,5566.429,4526.002,6123.323,3308.756,6657.309,6087.03,3152.502,2803.739,5565.495,4030.082,7095.1375,1591.252,3750.998,4454.566,5806.842,3113.895,2892.117,784.3179,3843.99,1382.921
GSM1244919,3126.407,5484.535,4397.821,2327.979,5833.966,5115.374,4392.125,3090.4315,5455.147,1901.672,2288.9195,2091.347,3868.387,2978.752,2857.089,2708.125,2570.331,1953.044,2356.657,1318.511
GSM1244920,3939.773,5973.164,4968.81,2180.19,6027.135,5984.661,3706.702,4274.3645,4076.5,2065.199,2752.4825,2685.744,3831.916,3270.386,2238.783,2839.687,3316.471,1424.576,2906.819,1265.618
GSM1244921,7020.573,7341.807,5035.714,4732.35,6554.426,6372.891,3781.543,1838.0385,5817.395,3459.415,3870.566,3070.656,3887.835,3025.623,3774.8,3612.399,2671.923,1038.147,3059.848,1734.998
GSM1244922,4340.294,6172.604,4678.988,2947.113,5739.475,5324.7,3313.567,4069.243,4228.923,2351.102,2887.0215,1977.36,3539.62,2901.451,2932.383,4186.233,2684.711,1038.059,2631.397,1544.598
GSM1244923,3333.915,5825.047,4351.462,1817.843,5831.124,5883.625,2781.116,2742.529,4126.712,2136.607,2196.278,2676.078,3365.129,3263.887,2219.69,3558.918,3197.188,1396.929,2581.28,1239.106
GSM1244924,4055.461,6476.046,5082.141,2044.272,5926.39,6344.2,3900.069,3249.852,5562.686,2290.239,2558.02,2781.235,3854.634,3505.365,2475.485,2186.39,3364.761,1074.073,2863.261,1038.804
GSM1244925,5518.073,7480.49,5967.964,2589.5,6322.161,7014.177,4320.398,1118.2251,5813.238,2995.844,3387.669,3499.994,3607.992,3880.324,3019.741,2921.771,3417.841,891.6605,3492.04,1416.17
GSM1244926,4441.788,5825.945,4944.11,3131.408,5296.237,4533.747,2148.819,4400.425,3863.398,2720.462,3072.7355,1718.078,3545.556,2783.801,3153.263,2640.116,2613.55,982.352,2891.987,1207.264
GSM1244927,3744.311,5666.725,5328.285,2357.152,7273.07,6817.145,3864.032,3105.398,4433.434,2062.253,2913.133,3036.211,4225.115,4245.543,2745.086,1979.709,2652.041,709.3399,2330.098,1835.422
GSM1244928,7064.436,8786.406,8473.314,4179.66,7696.045,6394.879,4484.984,1697.9815,4386.218,4251.361,5323.334,4619.72,3621.122,3843.648,3730.106,3249.852,3734.131,1099.774,2165.487,1290.394
GSM1244929,4267.215,4998.163,6622.359,2381.816,5938.055,4687.976,3327.714,3643.454,4461.289,2345.854,3866.3645,2270.969,3751.227,3984.264,3206.403,5593.5,2350.422,717.155,2853.068,2228.311
GSM1244930,9042.133,7471.715,7692.476,6669.407,4958.112,6606.331,5926.89,3723.2055,3063.092,5187.725,3455.748,3761.099,4071,3638.919,3790.733,2102.212,3110.158,929.4634,3044.878,2196.58
GSM1244931,7215.266,6015.206,6448.959,5421.859,4658.813,5688.917,7117.513,4714.622,4024.796,4003.747,2999.6335,3302.528,3488.124,3302.531,3228.587,2488.386,3305.835,2282.834,3066.415,1883.641
GSM1244932,5692.443,5299.509,6372.27,4803.609,4484.32,6061.082,5098.117,4978.0375,4064.522,3150.043,3361.9065,3164.165,4691.968,3826.739,3066.256,2626.87,3247.89,1560.792,3862.679,2467.03
GSM1244933,7173.561,7065.769,4613.285,4984.559,4824.894,5552.466,3416.6,3636.5835,3392.124,3779.963,3259.536,4170.4,4824.256,3681.435,2802.218,1609.585,3903.888,3037.435,3872.149,1932.515
GSM1244934,11508.83,8587.905,6442.216,9372.652,4922.378,6361.071,6809.205,4378.0075,5295.687,6206.358,4191.7895,2977.374,3819.564,4061.261,3898.574,2600.372,2750.626,2048.125,3256.521,2211.204
GSM1244935,4748.837,4749.336,6218.051,2437.605,3970.845,6051.017,5981.945,1530.301,3143.08,2459.533,3002.8115,2573.928,3315.965,3554.446,2360.15,2578.105,3035.924,1758.097,2708.962,1499.745
GSM1244936,7312.758,6789.651,5437.793,5573.777,5676.233,5972.335,4392.864,3050.287,3518.234,3820.329,3600.757,3592.266,4051.418,3201.784,3101.152,1932.53,2825.327,2054.334,2909.613,2099.378
GSM1244937,7657.213,5759.145,7591.811,5645.802,5489.382,5955.967,4969.922,2513.8315,3636.006,4758.141,4283.8015,3752.6,4264.197,4782.654,4079.441,2620.181,3504.402,1793.327,3434.655,2308.728
GSM1244938,7897.184,7133.062,6444.942,6110.383,4617.367,5911.899,6414.292,1988.642,5200.255,4600.463,4574.2915,3327.484,2957.007,3533.853,3834.301,3512.791,2933.505,1001.457,2858.259,2284.154
GSM1244939,11346.52,7607.558,6550.694,7442.735,5108.113,7127.18,6052.148,3166.2955,5000.899,5852.882,6152.329,2756.204,4248.118,3861.582,3783.442,2391.81,2979.989,2507.522,3641.976,2503.932
GSM1244940,6414.571,5796.812,6583.06,4171.779,4350.352,5550.7,5690.087,2326.208,4048.983,3961.425,4023.363,3125.246,3227.045,3575.806,3334.979,2877.072,2983.526,1878.3,2822.213,1767.612
GSM1244941,6106.746,4515.869,7781.493,3335.695,5039.588,6028.276,4324.277,2969.787,4376.979,2612.012,3354.8095,2172.186,3985.983,4309.129,3171.62,3113.614,3013.169,1948.209,3072.43,1766.668
GSM1244942,8637.989,7301.296,4112.805,8547.634,3219.092,4374.823,2456.589,4121.9595,2739.68,6188.82,2540.2125,2818.735,3855.112,1970.524,3585.456,3102.109,3192.165,2297.224,3579.003,2077.177
GSM1244943,3817.142,4493.405,5158.546,3193.216,3643.492,4532.814,3332.463,4691.418,3995.408,3216.877,2255.5035,2296.438,3650.648,3137.605,2427.326,4494.068,2381.515,1275.709,2501.256,1701.625
GSM1244944,7682.088,7419.893,6305.263,5995.558,5449.626,6115.819,4603.046,1295.9815,4985.32,4111.957,5525.894,4263.506,3182.526,4187.106,4350.581,2940.382,2947.991,1821.501,3093.64,2023.502
GSM1244945,9806.81,7570.535,6572.599,6778.512,5474.705,6119.717,6990.679,2956.6135,5707.457,4933.014,4538.238,4085.08,3698.987,4059.306,3756.167,3104.023,3005.727,1649.424,3191.448,2661.513
GSM1244946,9035.693,7599.14,6719.869,7461.868,4327.077,5538.331,5128.233,4124.4655,4005.712,5631.084,3724.835,2821.898,3997.051,3900.873,3970.309,2737.636,3111.077,2626.81,2882.636,2274.002
GSM1244947,4150.21,5001.669,5514.376,3699.169,4754.545,6026.968,4645.326,4422.846,4448.763,2555.302,2715.498,3390.544,3742.565,3904.646,2892.206,2122.782,3171.159,2316.308,2898.223,2502.718
GSM1244948,3959.611,5644.67,7117.693,2994.101,5957.5,4785.103,3802.57,2684.04,4985.229,3255.633,4111.842,1505.954,3763.704,3495.564,3460.119,4472.139,2617.854,1119.511,2857.716,1620.657
GSM1244949,5694.056,7961.867,5302.69,3989.014,5159.619,5648.046,2723.714,2525.915,4090.023,3999.644,2732.1335,3425.027,2997.035,2542.571,2834.134,3195.209,2999.446,1097.658,2684.931,1169.669
GSM1244950,5339.829,6650.997,5644.493,2918.113,5284.422,7276.071,3106.776,4165.106,5351.934,3321.551,3359.468,3520.737,3675.074,3114.069,2857.963,1951.694,3078.192,935.116,2357.32,1404.139
GSM1244951,4919.062,6073.735,5926.784,3235.219,5485.191,7110.85,2766.512,1896.519,5275,4035.266,4219.747,2950.764,3244.518,3621.106,3473.379,2027.121,3480.551,1278.398,3073.797,1090.453
GSM1244952,6460.386,8046.697,4070.565,4607.492,5230.802,5134.703,2896.252,5026.992,4239.341,3813.906,2879.8535,2073.664,3438.843,2491.491,2752.528,2656.81,3298.145,1068.463,2401.037,1152.442
GSM1244953,4314.511,6088.961,5533.766,2302.79,5897.444,4953.202,3577.139,2631.808,4395.629,2242.592,2544.4705,2509.501,3680.796,3266.035,2203.536,3321.511,3018.043,1344.502,2731.469,1106.801
GSM1244954,5556.645,8656.148,6368.538,4416.534,7119.602,7667.865,5293.365,1433.74765,4805.602,3793.419,3170.576,4592.426,3812.558,3610.927,3801.161,2435.463,3221.712,858.7777,2997.693,1297.643
GSM1244955,7740.118,7465.189,5151.697,5894.056,6638.645,6066.884,4813.329,3462.1585,5032.216,4297.188,4009.69,3159.619,3557.301,3190.554,3305.299,3344.169,3038.12,2143.367,3004.36,1967.204
GSM1244956,8883.484,6689.842,4925.312,5389.921,5915.518,6549.224,3307.031,2334.996,4647.67,3768.464,3182.396,3376.36,3263.492,2762.752,3211.33,2009.519,3602.587,1079.036,3106.38,1212.75
GSM1244957,6425.827,8161.777,3621.805,4785.896,4786.262,5095.242,1808.951,5505.5505,3998.478,2844.948,2421.5205,1925.311,3168.759,1820.018,2936.051,1793.606,2822.775,1170.376,2747.516,1025.537
GSM1244958,7289.449,8398.154,6657.991,3762.604,6422.029,6084.378,5429.963,1018.53845,6026.082,3698.716,3975.813,2729.988,3672.574,3891.761,3854.111,3000.386,3292.668,1073.956,2882.642,1332.952
